x y z
0.976 0.16 2
0.979 0.148 3
0.979 0.174 3
0.979 0.157 2
0.185 0.077 3
0.982 0.1 3
0.984 0.173 2
0.985 0.144 2
0.985 0.184 2
0.986 0.109 3
0.988 0.156 2
0.988 0.163 2
0.989 0.105 3
0.989 0.148 2
0.994 0.102 3
0.187 0.018 3
0.995 0.185 3
0.995 0.192 3
0.996 0.113 3
0.996 0.124 2
0.998 0.198 2
0.998 0.128 2
0.998 0.145 2
0.001 0.269 2
0.001 0.26 3
0.001 0.24 2
0.188 0 3
0.006 0.268 2
0.007 0.273 2
0.009 0.203 3
0.009 0.209 3
0.009 0.267 2
0.01 0.217 3
0.01 0.232 2
0.011 0.27 2
0.013 0.207 3
0.013 0.296 3
0.188 0.096 3
0.014 0.249 2
0.014 0.225 2
0.016 0.263 2
0.017 0.211 3
0.017 0.267 2
0.018 0.295 2
0.02 0.201 3
0.021 0.229 2
0.021 0.22 2
0.023 0.263 2
0.19 0.023 3
0.012 0.026 3
0.026 0.225 2
0.026 0.267 2
0.03 0.291 2
0.033 0.226 2
0.034 0.282 2
0.034 0.234 3
0.036 0.201 3
0.038 0.266 2
0.04 0.214 2
0.04 0.207 3
0.19 0.035 3
0.043 0.226 3
0.044 0.282 2
0.045 0.26 2
0.047 0.219 3
0.048 0.294 2
0.049 0.288 2
0.05 0.298 2
0.05 0.228 3
0.051 0.233 3
0.053 0.265 2
0.19 0.089 3
0.054 0.229 3
0.055 0.217 3
0.055 0.276 2
0.057 0.271 2
0.057 0.222 3
0.059 0.231 3
0.063 0.218 3
0.063 0.214 3
0.066 0.282 3
0.067 0.242 3
0.191 0.047 1
0.067 0.286 3
0.067 0.254 2
0.069 0.216 3
0.069 0.209 3
0.073 0.269 2
0.073 0.256 2
0.074 0.235 3
0.074 0.243 3
0.075 0.263 2
0.076 0.212 3
0.194 0.012 2
0.076 0.239 3
0.078 0.23 3
0.078 0.291 3
0.079 0.298 3
0.079 0.222 3
0.079 0.244 3
0.081 0.208 1
0.082 0.215 1
0.082 0.236 3
0.082 0.255 2
0.195 0.02 3
0.083 0.201 3
0.084 0.294 3
0.086 0.22 3
0.087 0.263 3
0.088 0.226 3
0.089 0.247 3
0.091 0.292 3
0.092 0.22 3
